Attaching 3 probes...
Tracing tcp retransmits. Hit Ctrl-C to end.
TIME     PID               LADDR:LPORT           RADDR:RPORT  STATE
19:54:20 0        2804:1a30:107:b00:5f67:35c0:5ec9:6d6e:34930  2606:4700:3037::6815:437e:443    ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 72       169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:26 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:27 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 409976   169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 72       169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 72       169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:28 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 2290     169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 2290     169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 2290     169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 2290     169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 2290     169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 452979   169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 452979   169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 452979   169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 452979   169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:29 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED
19:54:30 0        169.254.83.157:43906   169.254.193.8:3000   ESTABLISHED



